Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
               b'sysfs_remove_link+0x19'                          b'kworker/20:2'        409       5266    704      60705    3707607
                       b'__vunmap+0x128'                          b'kworker/19:1'        282       3072   1927      60085    5919829
            b'kernfs_create_dir_ns+0x53'                          b'kworker/20:2'        409       5728    704      60059    4032679
                b'inode_permission+0xe7'                               b'systemd'          1        586   8657      56475    5081530
                  b'worker_thread+0x27b'                         b'kworker/u66:1'       5840       9638     56      54598     539729
                b'inode_permission+0xe7'                               b'systemd'          1        621   7050      54570    4382126
                b'sysfs_remove_dir+0x51'                          b'kworker/19:1'        282       1699    336      53984     571012
                b'inode_permission+0xe7'                               b'systemd'          1        525 103010      53671   54160782
                    b'lookup_fast+0x281'                               b'systemd'          1        609   7050      52481    4294933
           b'__netlink_dump_start+0x191'                                  b'ntpd'       1108       1643    190      51844     312206
                  b'worker_thread+0x2a6'                         b'kworker/dying'       5840      10114     56      49132     566393
       b'memcg_offline_kmem.part.0+0x3f'                          b'kworker/19:1'        282       8229     16      48073     131674
                b'sysfs_remove_dir+0x51'                          b'kworker/24:0'       6737       6016     17      44259     102274
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1578    406      42903     640788
             b'ext4_mb_new_blocks+0x137'                               b'dockerd'       4655       1012 115467      41977  116872511
                        b'do_exit+0x38c'                                b'docker'       6509       5457    289      41859    1577222
                      b'pipe_read+0x20b'                              b'watchdog'       1356       1330 144238      41576  191917588
                   b'__lookup_slow+0x92'                               b'systemd'          1        780   4532      38752    3537173
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       3766    434      38365    1634557
      b'__x64_sys_inotify_rm_watch+0x77'                               b'systemd'          1       1031   8648      38306    8916897
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      17929     10      37770     179299
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      15081     58      36776     874721
                      b'ksys_lseek+0x68'                              b'collectl'      15015        972  30998      36536   30147206
                 b'exit_mm_release+0x18'                                b'docker'       6509       6881    280      35297    1926854
                b'inode_permission+0xe7'                               b'systemd'          1        527 151009      34522   79729655
             b'unix_stream_recvmsg+0x51'                        b'systemd-logind'       1056       1217 156123      34246  190081624
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      20751      2      34102      41503
               b'mem_cgroup_write+0x154'                               b'systemd'          1        539   8657      33923    4670582
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      16717     58      33704     969620
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      17020      2      32862      34041
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      18828      8      32838     150629
             b'unix_stream_recvmsg+0x51'                               b'dockerd'       4655       1961   6420      32178   12589981
                   [Missed Kernel Stack]                               b'dockerd'       4655       1030   5142      31625    5300916
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      16475     10      31600     164759
                    b'lookup_fast+0x281'                               b'systemd'          1        524  25926      31556   13603843
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      18482     10      31253     184823
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      15912     48      31119     763809
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      15352     10      31099     153526
                     b'pipe_write+0x17b'                                  b'sort'      15419       2334  58651      30028  136905832
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      16559      2      29807      33119
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       3500    434      29448    1519162
                         b'ep_poll+0x8f'                       b'systemd-network'       1240       1503  95660      29444  143854948
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      17131      2      29240      34263
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      17063     48      29076     819045
               b'sysfs_merge_group+0x37'                            b'(ostnamed)'      16061      21265      2      29004      42530
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      18994      2      27668      37988
                b'inode_permission+0xe7'                               b'systemd'          1       1743     53      27565      92380
                    b'lookup_fast+0x281'                               b'systemd'          1        699   1809      27523    1265255
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       4226     14      27075      59166
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      14128     10      26891     141286
                    b'devinfo_show+0x25'                               b'systemd'          1        618    608      26597     375975
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      17028      2      26558      34056
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      14370      2      25911      28741
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      18272     10      25823     182726
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1323    336      25795     444814
          b'link_path_walk.part.0+0x478'                               b'systemd'          1        699   1809      25795    1265722
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      19194      2      25703      38388
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      13321      2      25510      26643
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      16479      4      25303      65918
                  b'linkwatch_event+0xe'                          b'kworker/25:1'        288      10753      3      25101      32260
                    b'lookup_fast+0x281'                               b'systemd'          1        617   7545      25099    4662715
              b'kernfs_create_link+0x62'                            b'(ostnamed)'      16061      16188      2      25097      32376
                   b'kernfs_remove+0x3b'                               b'systemd'          1       1302    137      25054     178417
           b'cgroup_destroy_locked+0xd0'                               b'systemd'          1       1371    137      24987     187891
                   b'__lookup_slow+0x92'                        b'NetworkManager'      16054       1293   2031      24705    2626667
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      15766      2      24477      31532
        b'kernfs_remove_by_name_ns+0x55'                               b'systemd'          1       1339    808      24190    1082093
                b'inode_permission+0xe7'                               b'systemd'          1       1187    137      24072     162718
                      b'tty_write+0x195'                                  b'sshd'       5808       1304   5518      23422    7196071
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      17034      2      23387      34068
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      14518      2      23120      29037
                 b'exec_mm_release+0x18'                          b'50-motd-news'      16658       3386   6196      22596   20984023
                b'inode_permission+0xe7'                               b'systemd'          1        524  26586      22154   13934834
              b'cpuset_post_attach+0x15'                               b'systemd'          1       7277     53      21755     385710
                    b'lookup_fast+0x281'                         b'runc:[2:INIT]'       6849       1615     69      21420     111495
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       2066    406      21418     839133
                        b'do_exit+0x38c'                                  b'sudo'       6508       1431   9743      21284   13949196
              b'rtnetlink_rcv_msg+0x23a'                                  b'ntpd'       1108       2245    190      21218     426580
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      11342      2      21134      22685
              b'kernfs_create_link+0x62'                            b'(ostnamed)'      16061      17691      2      21006      35383
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      19770      2      20971      39540
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       5063     14      20902      70883
                 b'exit_mm_release+0x18'                                  b'sudo'       6508       1958   9741      20691   19074535
                b'inode_permission+0xe7'                               b'systemd'          1        624   2210      20295    1380049
                b'inode_permission+0xe7'                               b'systemd'          1        567   8537      20009    4841935
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      13779      2      19762      27558
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      14308      2      19379      28616
                    b'lookup_fast+0x281'                         b'runc:[2:INIT]'       6849      19306      1      19306      19306
                   b'proc_reg_read+0x43'                            b'irqbalance'       1047       1249  21331      19276   26656372
            b'__kernfs_create_file+0x7f'                            b'(ostnamed)'      16061      11956      4      18562      47827
                      b'tty_write+0x195'                          b'tmux: server'       5817       2630    523      18502    1375885
                        b'do_exit+0x38c'                                b'strace'      14990       2220     16      18298      35525
                  b'proc_task_name+0x45'                              b'collectl'      15015        699   4274      18243    2989372
                b'inode_permission+0xe7'                            b'(ostnamed)'      16061       2150     66      17994     141937
                  b'ext4_truncate+0x16b'                       b'systemd-journal'        679       1693   1058      17734    1791703
                 b'ksys_getdents64+0x81'                               b'dockerd'       4655        847  56799      17654   48161875
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      17358      2      17633      34716
                    b'lookup_fast+0x281'                            b'(ostnamed)'      16061       2230    102      17544     227503
             b'cgroup_addrm_files+0x2c2'                               b'systemd'          1       1136    962      17474    1092994
                           b'mmput+0x27'                                  b'sudo'       6508       1115   9730      17404   10853118
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849      16720      1      16720      16720
                  b'sysfs_get_tree+0x18'                         b'runc:[2:INIT]'       6849      14760      2      16720      29521
                           b'mmput+0x27'                       b'apache2.postins'      16646       1478    681      16673    1006898
                   b'worker_thread+0x27'                          b'kworker/21:3'      14356       3187     17      16612      54193
                    b'lookup_fast+0x281'                         b'runc:[2:INIT]'       6849      16045      1      16045      16045
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       2077    406      15900     843563
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       2138    336      15842     718479
